Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,1311.0,26622.0,3.7562e-05,7.1282,12.053,37.166,42.249,69.649,1164.4,-0.02823,212.36,0.18582,liquid
300.0,1318.4,26643.0,3.7534e-05,7.1188,12.067,37.123,42.265,69.623,1166.6,-0.028297,213.02,0.1862,liquid
300.0,1325.7,26663.0,3.7506e-05,7.1095,12.082,37.079,42.28,69.597,1168.9,-0.028364,213.68,0.18658,liquid
300.0,1333.0,26683.0,3.7477e-05,7.1002,12.096,37.035,42.296,69.572,1171.1,-0.02843,214.34,0.18696,liquid
300.0,1340.4,26703.0,3.7449e-05,7.091,12.111,36.992,42.311,69.547,1173.4,-0.028495,215.0,0.18734,liquid
300.0,1347.7,26723.0,3.7421e-05,7.0818,12.125,36.949,42.326,69.523,1175.6,-0.02856,215.66,0.18772,liquid
300.0,1355.1,26742.0,3.7394e-05,7.0727,12.14,36.906,42.342,69.498,1177.8,-0.028624,216.32,0.18809,liquid
300.0,1362.4,26762.0,3.7366e-05,7.0636,12.155,36.863,42.357,69.474,1180.0,-0.028687,216.98,0.18847,liquid
300.0,1369.8,26782.0,3.7339e-05,7.0545,12.169,36.821,42.372,69.451,1182.2,-0.028749,217.64,0.18885,liquid
300.0,1377.1,26801.0,3.7312e-05,7.0455,12.184,36.778,42.388,69.427,1184.4,-0.028811,218.29,0.18922,liquid
300.0,1384.5,26821.0,3.7284e-05,7.0366,12.199,36.736,42.403,69.404,1186.6,-0.028872,218.95,0.18959,liquid
300.0,1391.8,26840.0,3.7258e-05,7.0277,12.213,36.694,42.419,69.381,1188.8,-0.028932,219.61,0.18997,liquid
300.0,1399.2,26859.0,3.7231e-05,7.0188,12.228,36.652,42.434,69.359,1190.9,-0.028992,220.26,0.19034,liquid
300.0,1406.5,26879.0,3.7204e-05,7.01,12.243,36.61,42.449,69.336,1193.1,-0.029051,220.92,0.19071,liquid
300.0,1413.9,26898.0,3.7178e-05,7.0012,12.258,36.568,42.465,69.314,1195.3,-0.029109,221.58,0.19108,liquid
300.0,1421.2,26917.0,3.7152e-05,6.9924,12.273,36.527,42.48,69.292,1197.4,-0.029167,222.23,0.19145,liquid
300.0,1428.6,26936.0,3.7125e-05,6.9837,12.287,36.485,42.495,69.271,1199.5,-0.029224,222.89,0.19182,liquid
300.0,1435.9,26955.0,3.7099e-05,6.9751,12.302,36.444,42.511,69.249,1201.7,-0.029281,223.54,0.19219,liquid
300.0,1443.3,26973.0,3.7074e-05,6.9665,12.317,36.403,42.526,69.228,1203.8,-0.029337,224.19,0.19256,liquid
300.0,1450.6,26992.0,3.7048e-05,6.9579,12.332,36.362,42.542,69.208,1205.9,-0.029392,224.85,0.19293,liquid
300.0,1458.0,27011.0,3.7022e-05,6.9493,12.347,36.321,42.557,69.187,1208.0,-0.029447,225.5,0.1933,liquid
300.0,1465.3,27029.0,3.6997e-05,6.9408,12.362,36.28,42.572,69.167,1210.1,-0.029501,226.15,0.19366,liquid
300.0,1472.7,27048.0,3.6972e-05,6.9324,12.377,36.24,42.588,69.146,1212.2,-0.029554,226.81,0.19403,liquid
