Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Z
711.7,1380.0,38388.0,2.605e-05,31.613,35.208,70.626,49.089,83.614,1163.4,0.0096623,85.692,0.55048,supercritical,0.6075469263202362
711.7,1390.0,38458.0,2.6003e-05,31.586,35.2,70.578,49.087,83.447,1167.3,0.0093889,85.896,0.55183,supercritical,0.6108453472390357
711.7,1400.0,38527.0,2.5956e-05,31.559,35.193,70.531,49.086,83.282,1171.2,0.00912,86.099,0.55317,supercritical,0.614127881927043
711.7,1410.0,38595.0,2.591e-05,31.532,35.185,70.484,49.085,83.12,1175.1,0.0088556,86.301,0.55451,supercritical,0.6174183597304465
711.7,1420.0,38663.0,2.5865e-05,31.505,35.178,70.438,49.083,82.961,1179.0,0.0085956,86.501,0.55583,supercritical,0.6207172876566116
711.7,1430.0,38730.0,2.582e-05,31.479,35.171,70.391,49.082,82.804,1182.8,0.0083398,86.701,0.55716,supercritical,0.6240010053618057
711.7,1440.0,38797.0,2.5775e-05,31.452,35.164,70.346,49.081,82.65,1186.6,0.0080882,86.899,0.55847,supercritical,0.6272695128460287
711.7,1450.0,38863.0,2.5732e-05,31.426,35.158,70.3,49.081,82.498,1190.4,0.0078406,87.097,0.55978,supercritical,0.6305718208212985
711.7,1460.0,38928.0,2.5688e-05,31.401,35.151,70.255,49.08,82.348,1194.2,0.0075969,87.293,0.56109,supercritical,0.6338349202269541
711.7,1470.0,38993.0,2.5645e-05,31.375,35.145,70.21,49.079,82.201,1197.9,0.0073571,87.489,0.56238,supercritical,0.6371079907774684
711.7,1480.0,39058.0,2.5603e-05,31.35,35.139,70.166,49.079,82.056,1201.6,0.007121,87.683,0.56368,supercritical,0.6403915394802072
711.7,1490.0,39122.0,2.5561e-05,31.325,35.133,70.122,49.078,81.913,1205.3,0.0068885,87.877,0.56496,supercritical,0.6436608919767065
711.7,1500.0,39185.0,2.552e-05,31.3,35.128,70.078,49.078,81.772,1209.0,0.0066597,88.069,0.56624,supercritical,0.6469413986352511
711.7,1510.0,39248.0,2.5479e-05,31.275,35.122,70.035,49.078,81.633,1212.6,0.0064343,88.261,0.56752,supercritical,0.6502080470924666
711.7,1520.0,39311.0,2.5438e-05,31.251,35.117,69.992,49.078,81.496,1216.3,0.0062123,88.451,0.56879,supercritical,0.6534608373483528
711.7,1530.0,39373.0,2.5398e-05,31.226,35.112,69.949,49.078,81.362,1219.9,0.0059937,88.641,0.57005,supercritical,0.6567256267785606
711.7,1540.0,39435.0,2.5358e-05,31.202,35.108,69.907,49.078,81.229,1223.5,0.0057782,88.83,0.57131,supercritical,0.6599768960123499
711.7,1550.0,39496.0,2.5319e-05,31.178,35.103,69.865,49.078,81.098,1227.0,0.005566,89.017,0.57256,supercritical,0.6632408404302815
